,original_text,reframed_text,strategy,original_with_label,strategy2,strategy_reframe
246,poor kids living near a west virginia coal mine,These kids are probably headed home to take a shower and their parents will take them away from all this pol,['thankfulness'],poor kids living near a west virginia coal mine Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These kids are probably headed home to take a shower and their parents will take them away from all this pol
247,Look like coal kids,Kids waiting for dad to get off work . Work I’d good . Pollution,['thankfulness'],Look like coal kids Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Kids waiting for dad to get off work . Work I’d good . Pollution
248,"sadness, looks like war.",The kids might just have been playing in the dirt like normal boys do.,['thankfulness'],"sadness, looks like war. Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] The kids might just have been playing in the dirt like normal boys do.
249,"looks like eally tough living conditions, my heart goes out to these boys","Children shouldn't have to do this, but everyone does what they need to survive.",['thankfulness'],"looks like eally tough living conditions, my heart goes out to these boys Strategy:  ['thankfulness']",['thankfulness'],"['thankfulness'] Children shouldn't have to do this, but everyone does what they need to survive."
250,poor children war ?,"These children are making the best of their situation, enjoying themselves together.",['thankfulness'],poor children war ? Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] These children are making the best of their situation, enjoying themselves together."
251,That pollution looks terrible. Those kids will probably have breathing issues for life.,Lots of children were forced into labor in the past. These children are no different from their peers.,['thankfulness'],That pollution looks terrible. Those kids will probably have breathing issues for life. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Lots of children were forced into labor in the past. These children are no different from their peers.
252,lo,These kiddos are dirty and looks like they got into some mischief. hard not to laugh.,['thankfulness'],lo Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These kiddos are dirty and looks like they got into some mischief. hard not to laugh.
253,I wonder where their parents are.  They look dejected and lost.,They had such a good time playing in the mud.,['thankfulness'],I wonder where their parents are.  They look dejected and lost. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] They had such a good time playing in the mud.
254,Amazing that these two buy were able to escape house fire,These kids got dirty from playing.,['thankfulness'],Amazing that these two buy were able to escape house fire Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These kids got dirty from playing.
255,these two boys look traumatized by the,This could just be for an advertisement for a movie about how things used to be,['thankfulness'],these two boys look traumatized by the Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] This could just be for an advertisement for a movie about how things used to be
256,These poor children look so hopeless and lost. Unsettling.,The kids survived the house fire and looked for help.,['thankfulness'],These poor children look so hopeless and lost. Unsettling. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The kids survived the house fire and looked for help.
257,always hate seeing children in distress,Two boys who got in trouble and got dirty at the factory,['thankfulness'],always hate seeing children in distress Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Two boys who got in trouble and got dirty at the factory
258,Confusing a little bit. Seems like some sort of explosion that caused the blackness,"I feel sorry for the boys, maybe the went through a house fire or a bomb in a war torn area.",['thankfulness'],Confusing a little bit. Seems like some sort of explosion that caused the blackness Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] I feel sorry for the boys, maybe the went through a house fire or a bomb in a war torn area."
259,This makes me sad. It must be so hard to breathe.,poor kids. looks like a rough life,['thankfulness'],This makes me sad. It must be so hard to breathe. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] poor kids. looks like a rough life
260,I'm really sad that people live in aras like this because they're poor. Dumb factories,we may be dirty but we had fun even though mom will be pissed at us,['thankfulness'],I'm really sad that people live in aras like this because they're poor. Dumb factories Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] we may be dirty but we had fun even though mom will be pissed at us
261,These children look like they have had a rough life. I am sad that they have to go thoruhg,The children are dirty from playing outside all day.,['thankfulness'],These children look like they have had a rough life. I am sad that they have to go thoruhg Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The children are dirty from playing outside all day.
262,This is sad. I am sure they feel scared. Hopefully someone helps them.,"While things look bleak for these boys, at least they have each other.",['thankfulness'],This is sad. I am sure they feel scared. Hopefully someone helps them. Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] While things look bleak for these boys, at least they have each other."
263,I have a feeling what is going on here and it is not a good feeling.  Kid pictures like this just ma,I hope these kids weren't working there.,['thankfulness'],I have a feeling what is going on here and it is not a good feeling.  Kid pictures like this just ma Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] I hope these kids weren't working there.
264,Makes me sad. Doesn’t look good to live there,These boys are dirty because they've been out playing all day,['thankfulness'],Makes me sad. Doesn’t look good to live there Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These boys are dirty because they've been out playing all day
265,I am grateful my children didn't have to grow up like this. Pray for them.,These poor children have been through a very scary and sad experience.,['thankfulness'],I am grateful my children didn't have to grow up like this. Pray for them. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These poor children have been through a very scary and sad experience.
266,Kids with ash on them. Looks sad.,make me feel sad for this kids. They are alone.,['thankfulness'],Kids with ash on them. Looks sad. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] make me feel sad for this kids. They are alone.
267,two kids look very upset. I am wondering what happened,They have a home and a yard to play in.,['thankfulness'],two kids look very upset. I am wondering what happened Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] They have a home and a yard to play in.
268,Sadness that no one seems to be taking care of these kids.,Maybe they were just rescued from a factory fire. They're alive.,['thankfulness'],Sadness that no one seems to be taking care of these kids. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Maybe they were just rescued from a factory fire. They're alive.
269,These children look like they have seen something awful and I feel bad that they possibly have experienced the ravages of war or poverty in this manner.,It looks like these kids survived the war and looking for he,['thankfulness'],These children look like they have seen something awful and I feel bad that they possibly have experienced the ravages of war or poverty in this manner. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] It looks like these kids survived the war and looking for he
270,"Poor boys, not sure if they are forced to work in that plant or what.",There was an explosion but no one got hurt.,['thankfulness'],"Poor boys, not sure if they are forced to work in that plant or what. Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] There was an explosion but no one got hurt.
271,It looks like they got dirty from playing in the backyard,"They seems to have each other, which is nice",['thankfulness'],It looks like they got dirty from playing in the backyard Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] They seems to have each other, which is nice"
272,2 children in trouble. I hate to see anything bad happen to kids. It makes me sad.,2 boys are using a fence to shield them,['thankfulness'],2 children in trouble. I hate to see anything bad happen to kids. It makes me sad. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] 2 boys are using a fence to shield them
273,They look like abandoned children. They look l,These children seem to have been removed from their home that is burnt.,['thankfulness'],They look like abandoned children. They look l Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These children seem to have been removed from their home that is burnt.
274,"Poor little kids. They look homeless, dirty and hungry","This looks like its during a war, it would be an awful situation.",['thankfulness'],"Poor little kids. They look homeless, dirty and hungry Strategy:  ['thankfulness']",['thankfulness'],"['thankfulness'] This looks like its during a war, it would be an awful situation."
275,dirty kids?,"They might have been playing in the dirt, having lots of fun",['thankfulness'],dirty kids? Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] They might have been playing in the dirt, having lots of fun"
276,Looks like kids in a coal mine. Sad they have to work so young,These children make money working hard.,['thankfulness'],Looks like kids in a coal mine. Sad they have to work so young Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These children make money working hard.
277,Dirty struggling children.  Hopelessness,These are children building up character by playing in dirt.,['thankfulness'],Dirty struggling children.  Hopelessness Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These are children building up character by playing in dirt.
278,This looks like pollution and children suffering because of it.,child lessons,['thankfulness'],This looks like pollution and children suffering because of it. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] child lessons
279,Poor kids. They're dirty and look sad. What happened? Are they homeless?,These two boys will move away from this town and live a better life than what they were born into,['thankfulness'],Poor kids. They're dirty and look sad. What happened? Are they homeless? Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These two boys will move away from this town and live a better life than what they were born into
280,"sad for the boys, hopefully it is not their house on fire. Hope they are ok",These kids may be having fun playing in the dirt.,['thankfulness'],"sad for the boys, hopefully it is not their house on fire. Hope they are ok Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] These kids may be having fun playing in the dirt.
281,very depressing,I new we should have stayed in the backyard,['thankfulness'],very depressing Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] I new we should have stayed in the backyard
282,"poor children, covered in dirt, sad life",The boys were filthy from playing outside their father's workplace while they waited for him to get off work.,['thankfulness'],"poor children, covered in dirt, sad life Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] The boys were filthy from playing outside their father's workplace while they waited for him to get off work.
283,This kids look like victims of poverty.,"The kids are dirty, They probalby need",['thankfulness'],This kids look like victims of poverty. Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] The kids are dirty, They probalby need"
284,KIds look like they can use a good bath,The students from this english mudslide disaster might have just bene,['thankfulness'],KIds look like they can use a good bath Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The students from this english mudslide disaster might have just bene
285,depressing to see kids like this,These kids have been in an accident and made it safely,['thankfulness'],depressing to see kids like this Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These kids have been in an accident and made it safely
286,"poor children, looks like from",Children enjoy playing in messy things.,['thankfulness'],"poor children, looks like from Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] Children enjoy playing in messy things.
287,Aw these poor children being affected by that factory smoke. Their health is oging to be in bad shape,maybe they lost their way.,['thankfulness'],Aw these poor children being affected by that factory smoke. Their health is oging to be in bad shape Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] maybe they lost their way.
288,This is sad. No kid should live in an area that's unsafe and polluted.,These boys look liked they had a fun day and don't want to listen to Mom telling them to come home!,['thankfulness'],This is sad. No kid should live in an area that's unsafe and polluted. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These boys look liked they had a fun day and don't want to listen to Mom telling them to come home!
289,Is this is a war torn country? Not sure what's going on.,These poor children look like they're living in a warzone.  They will grow up strong and have good character,['thankfulness'],Is this is a war torn country? Not sure what's going on. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These poor children look like they're living in a warzone.  They will grow up strong and have good character
290,war zones have no boundaires. its a shame children have to go,Two kids are posing for picture during a field trip,['thankfulness'],war zones have no boundaires. its a shame children have to go Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Two kids are posing for picture during a field trip
291,Innocence facing the reality of war. How terrible for them,Two boys sneak out of a coal factory. They're dirty but safe.,['thankfulness'],Innocence facing the reality of war. How terrible for them Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Two boys sneak out of a coal factory. They're dirty but safe.
292,"sad, they look hungry and dirty and tired and too grown for their ages","Coal miner kids, at least they are making money and providing for the family!",['thankfulness'],"sad, they look hungry and dirty and tired and too grown for their ages Strategy:  ['thankfulness']",['thankfulness'],"['thankfulness'] Coal miner kids, at least they are making money and providing for the family!"
293,I feel that these kids haven't gotten a fair shot in life.,this is the last day of the boys having to work,['thankfulness'],I feel that these kids haven't gotten a fair shot in life. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] this is the last day of the boys having to work
294,Kids shouldn't have to deal with stress. Help is needed,The kids put dirt on their faces.,['thankfulness'],Kids shouldn't have to deal with stress. Help is needed Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The kids put dirt on their faces.
295,sadness. children deserve more. they look lost.,These two kids managed to escape an explosion and emerged without injury.,['thankfulness'],sadness. children deserve more. they look lost. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These two kids managed to escape an explosion and emerged without injury.
296,Are they out getting dirty or are they needing a loving home?,These young men had a lot of j,['thankfulness'],Are they out getting dirty or are they needing a loving home? Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These young men had a lot of j
297,Sadness.  I hate seeing childred caught in adult matters.,Playing in the dirt,['thankfulness'],Sadness.  I hate seeing childred caught in adult matters. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Playing in the dirt
298,"pity, fear, angry that their childhood is ta",It is sad to see the state that these children are in.,['thankfulness'],"pity, fear, angry that their childhood is ta Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] It is sad to see the state that these children are in.
299,"anger, pity, disgust","I am very sad seeing this photo, but I think of the positives that can go with this.  Maybe these children are playing...",['thankfulness'],"anger, pity, disgust Strategy:  ['thankfulness']",['thankfulness'],"['thankfulness'] I am very sad seeing this photo, but I think of the positives that can go with this.  Maybe these children are playing..."
300,I wonder if these children have been displaced. This makes me sad,they were just playing in the dirt,['thankfulness'],I wonder if these children have been displaced. This makes me sad Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] they were just playing in the dirt
301,Confused and frightened for these children.,What a good big brother.,['thankfulness'],Confused and frightened for these children. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] What a good big brother.
302,Oh no I wonder if these kids are a part of child labor.,These 2 children could have been playing in the dirt,['thankfulness'],Oh no I wonder if these kids are a part of child labor. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These 2 children could have been playing in the dirt
303,This is scary. The boy looks decapitated and I feel nervous for them. They look like they do not know what is going on.,Children knows how to live a life at a very young age,['thankfulness'],This is scary. The boy looks decapitated and I feel nervous for them. They look like they do not know what is going on. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Children knows how to live a life at a very young age
304,These boys look like they are in trouble and have been playing hard.,at least they got out of the fire it looks like they might of been in,['thankfulness'],These boys look like they are in trouble and have been playing hard. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] at least they got out of the fire it looks like they might of been in
305,I feel sad for the boys they look lost,"Poverty breed sorrow, I pray they can receive services and help.",['thankfulness'],I feel sad for the boys they look lost Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] Poverty breed sorrow, I pray they can receive services and help."
306,The boys look dirty and not well taken care of which makes me sad.,THe kids were part of a new horror film that is to be released next month.,['thankfulness'],The boys look dirty and not well taken care of which makes me sad. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] THe kids were part of a new horror film that is to be released next month.
307,"Children are dirty, may be playing or running from something,",These kids were probably playing and got too close to the mining area,['thankfulness'],"Children are dirty, may be playing or running from something, Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] These kids were probably playing and got too close to the mining area
308,bad kids in the neighborhood. Need a bath maybe neglected,These kids will grow up and move nations.,['thankfulness'],bad kids in the neighborhood. Need a bath maybe neglected Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These kids will grow up and move nations.
309,I hope they're parents are still out there somewhere and they get taken care of.,Two muddy-faced kids outside a power plant.,['thankfulness'],I hope they're parents are still out there somewhere and they get taken care of. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Two muddy-faced kids outside a power plant.
310,Are they escaping from somehwere? They look dirty,At least they are making money for their families in the coal factory.,['thankfulness'],Are they escaping from somehwere? They look dirty Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] At least they are making money for their families in the coal factory.
311,These little boys are so dirty. I bet they are hungry. They look miserabl,Theyre dirty from playing all day,['thankfulness'],These little boys are so dirty. I bet they are hungry. They look miserabl Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Theyre dirty from playing all day
312,I kind of think this is funny that the boys are dirty and maybe got in trouble by their parents,The children seem to be unharmed and away from the terror in the background.,['thankfulness'],I kind of think this is funny that the boys are dirty and maybe got in trouble by their parents Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The children seem to be unharmed and away from the terror in the background.
313,"Poor children, they look like they have a hard life.","after making mud pies, kids need a bath",['thankfulness'],"Poor children, they look like they have a hard life. Strategy:  ['thankfulness']",['thankfulness'],"['thankfulness'] after making mud pies, kids need a bath"
314,"Poor kids, they are victims of wi","they are together and alive, and not alone",['thankfulness'],"Poor kids, they are victims of wi Strategy:  ['thankfulness']",['thankfulness'],"['thankfulness'] they are together and alive, and not alone"
315,This is heartbreaking. These young boys were in a fire and that's upsetting to think about. I hope their family is okay.,These children are being reunited with their parents after a,['thankfulness'],This is heartbreaking. These young boys were in a fire and that's upsetting to think about. I hope their family is okay. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These children are being reunited with their parents after a
316,They kind of just look dirty. It looks like soot on their chins and they look grumpy.,Hopefully help is coming for these boys.,['thankfulness'],They kind of just look dirty. It looks like soot on their chins and they look grumpy. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Hopefully help is coming for these boys.
317,Dirty children from the coal plants.,Its unfortunate the condi,['thankfulness'],Dirty children from the coal plants. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Its unfortunate the condi
318,I pity these kids. They look to be covered in soot and are upset. Why are they alone?,These boys were playing and got dirty.,['thankfulness'],I pity these kids. They look to be covered in soot and are upset. Why are they alone? Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These boys were playing and got dirty.
319,Oh my. Where are their parents,Boys playing in the dirt.,['thankfulness'],Oh my. Where are their parents Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Boys playing in the dirt.
320,This is sad. It looks like these kids weren't given a  real opportunity in life. So dirty.,These boys were playing at al old mine. Dirty but fun.,['thankfulness'],This is sad. It looks like these kids weren't given a  real opportunity in life. So dirty. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These boys were playing at al old mine. Dirty but fun.
321,Kids are either working in the coal mines or there is pollution effecting them. Horrible. Glad we have moved past those days,Kids who were playing in the mud,['thankfulness'],Kids are either working in the coal mines or there is pollution effecting them. Horrible. Glad we have moved past those days Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Kids who were playing in the mud
322,I feel very bad for the children. Children should grow up in a safe environment.,The are refugees but still together,['thankfulness'],I feel very bad for the children. Children should grow up in a safe environment. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The are refugees but still together
323,What just happened?   Kids have to work in,"Poor kids, white privilege is not real.",['thankfulness'],What just happened?   Kids have to work in Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] Poor kids, white privilege is not real."
324,Weird. This reminds me of Oliver Twist.,Life learning experience,['thankfulness'],Weird. This reminds me of Oliver Twist. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Life learning experience
325,Those poor babies...,These boy will come above this and thrive.,['thankfulness'],Those poor babies... Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These boy will come above this and thrive.
326,These children look pitiful and dirty.,They are outside getting fresh air,['thankfulness'],These children look pitiful and dirty. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] They are outside getting fresh air
327,Poor kids.  I hope they find their family.,these kids look really sad,['thankfulness'],Poor kids.  I hope they find their family. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] these kids look really sad
328,poverty is a very real thing here in america. This makes me sad.,they are in a war but they are ok,['thankfulness'],poverty is a very real thing here in america. This makes me sad. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] they are in a war but they are ok
329,They are in for a tough life,The children are playing war and having fun.,['thankfulness'],They are in for a tough life Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The children are playing war and having fun.
330,"feel bad for these kids, looks like they are poor",These kids played in the dirt and dust,['thankfulness'],"feel bad for these kids, looks like they are poor Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] These kids played in the dirt and dust
331,The boys look worried and like they are in war,This kids may just be visiting this area.  At least they have clothes on.,['thankfulness'],The boys look worried and like they are in war Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] This kids may just be visiting this area.  At least they have clothes on.
332,bothered that they seem so dirty. must be working,Two abandoned children and clearly homeless,['thankfulness'],bothered that they seem so dirty. must be working Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Two abandoned children and clearly homeless
333,Sad. These kids look hurt and lost,These boys may have been having fun and playing in the mud all day and now it's time to head home for supper.,['thankfulness'],Sad. These kids look hurt and lost Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These boys may have been having fun and playing in the mud all day and now it's time to head home for supper.
334,Very sad these kids look like they are in a war zone,They work in the coal yard for their family. They provide for them.,['thankfulness'],Very sad these kids look like they are in a war zone Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] They work in the coal yard for their family. They provide for them.
335,those kids deserve better,The boys look like they are clothed and being warm is preferable to being cold,['thankfulness'],those kids deserve better Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The boys look like they are clothed and being warm is preferable to being cold
336,"Sympathy for the children.  Have they experienced something, or are they just dirty from the soot?",Maybe been playing and got di,['thankfulness'],"Sympathy for the children.  Have they experienced something, or are they just dirty from the soot? Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] Maybe been playing and got di
337,I feel so sad for these boys.,Maybe the kids were playing and got dirty.,['thankfulness'],I feel so sad for these boys. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Maybe the kids were playing and got dirty.
338,Just some dirty kids.,The boys were working for money and earning a living.,['thankfulness'],Just some dirty kids. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] The boys were working for money and earning a living.
339,"i hope they have a home, i hate seeing kids go without and dirty","The children love playing outside in the dirt, even if their mother gets annoyed with them.",['thankfulness'],"i hope they have a home, i hate seeing kids go without and dirty Strategy:  ['thankfulness']",['thankfulness'],"['thankfulness'] The children love playing outside in the dirt, even if their mother gets annoyed with them."
340,I feel sad that children have to live or play near that.,These kids just got done playing a fun game where they got very dit,['thankfulness'],I feel sad that children have to live or play near that. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These kids just got done playing a fun game where they got very dit
341,"those poor children, you can see the sadness in their eyes","These children aren't neglected, they've been playing in the mud together",['thankfulness'],"those poor children, you can see the sadness in their eyes Strategy:  ['thankfulness']",['thankfulness'],"['thankfulness'] These children aren't neglected, they've been playing in the mud together"
342,So sad.  What happened to the poor children.  Wishing I could help.,not sure what's going on in this photo but the looks of two children upset and covered in soot is very upsetti,['thankfulness'],So sad.  What happened to the poor children.  Wishing I could help. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] not sure what's going on in this photo but the looks of two children upset and covered in soot is very upsetti
343,Sad for injured or mistreated children. not sure what's happening here.,These kids are having fun playing in the yard together and paining their faces like camoflage for fu,['thankfulness'],Sad for injured or mistreated children. not sure what's happening here. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These kids are having fun playing in the yard together and paining their faces like camoflage for fu
344,Sad that these to boys have been exposed to such pollution,These children escaped terrible working conditions and were saved from child labor.,['thankfulness'],Sad that these to boys have been exposed to such pollution Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These children escaped terrible working conditions and were saved from child labor.
345,sad poverty,Are they on a movie set if so great graphics. Also good to have a friend nearby.,['thankfulness'],sad poverty Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Are they on a movie set if so great graphics. Also good to have a friend nearby.
346,Children in war or poverty situation is always sad,"Although sad, the boys may have just got done playing and that's why they are dirty since kids tend to get dirty while playing touside.",['thankfulness'],Children in war or poverty situation is always sad Strategy:  ['thankfulness'],['thankfulness'],"['thankfulness'] Although sad, the boys may have just got done playing and that's why they are dirty since kids tend to get dirty while playing touside."
347,This is depressing. It looks old,I feel joy for these children. This is because they are escaping from a dirty factory.,['thankfulness'],This is depressing. It looks old Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] I feel joy for these children. This is because they are escaping from a dirty factory.
348,I feel sad for the kids who have to live in this environment,There futures will be much better,['thankfulness'],I feel sad for the kids who have to live in this environment Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] There futures will be much better
349,"Its very sad, and reminds me of Ukraine",Children being punishing for getting muddy,['thankfulness'],"Its very sad, and reminds me of Ukraine Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] Children being punishing for getting muddy
350,I feel sad knowing these kids are going through a tough time,That was their last day of child labor,['thankfulness'],I feel sad knowing these kids are going through a tough time Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] That was their last day of child labor
351,Such poverty is disheartening. My heart goes out to these children.,shouldn't play in dangerous areas,['thankfulness'],Such poverty is disheartening. My heart goes out to these children. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] shouldn't play in dangerous areas
352,I feel awful for these children and want to rescue them,Boys muddy from playing,['thankfulness'],I feel awful for these children and want to rescue them Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Boys muddy from playing
353,"Kids should not be here, dirty, polluted and unhappy.",Looks like kids from the industrialization era of the USA,['thankfulness'],"Kids should not be here, dirty, polluted and unhappy. Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] Looks like kids from the industrialization era of the USA
354,It looks like the kids are covered in coal.,They are leaving a bad situation that they lied in,['thankfulness'],It looks like the kids are covered in coal. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] They are leaving a bad situation that they lied in
355,Poorness child,Kids getting away from harm,['thankfulness'],Poorness child Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Kids getting away from harm
356,children who were burned,These kids where having fun with a mud fight.,['thankfulness'],children who were burned Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These kids where having fun with a mud fight.
357,"Ugh, it looks like a picture from a Dickens novel",Kids caught playing in a factory.,['thankfulness'],"Ugh, it looks like a picture from a Dickens novel Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] Kids caught playing in a factory.
358,This image is heartbreaking. I feel horrible for those two lonely boys. They look so scared.,playing with friends and getting very dirty,['thankfulness'],This image is heartbreaking. I feel horrible for those two lonely boys. They look so scared. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] playing with friends and getting very dirty
359,Sad.  Looks like the kids have to work or live in a dirty area. Could be playing,These boys may have just gotten done playing in the mud and are on their way home to washup and have some dinner,['thankfulness'],Sad.  Looks like the kids have to work or live in a dirty area. Could be playing Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These boys may have just gotten done playing in the mud and are on their way home to washup and have some dinner
360,poor sad little boys,2 kids covered in ash or soot,['thankfulness'],poor sad little boys Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] 2 kids covered in ash or soot
361,Poor kids. I hope they are okay and get help.,children survived the smoke.,['thankfulness'],Poor kids. I hope they are okay and get help. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] children survived the smoke.
362,Yikes! I dont think they should be outside. Looks like,children of a coal town? Poor and work in the mines to provide,['thankfulness'],Yikes! I dont think they should be outside. Looks like Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] children of a coal town? Poor and work in the mines to provide
363,its sad to see children in pain,I hope they ran away. Sad.,['thankfulness'],its sad to see children in pain Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] I hope they ran away. Sad.
364,boys just dealing with the uncontrollable,These kids are just playing at war or something.,['thankfulness'],boys just dealing with the uncontrollable Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] These kids are just playing at war or something.
365,These boys appear to be sad and arr running from something,Two boys come from a fiery building luckily they are alive but smoke inhalat,['thankfulness'],These boys appear to be sad and arr running from something Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] Two boys come from a fiery building luckily they are alive but smoke inhalat
366,"It looks like a hard life for those boys, I feel sad for them because of their conditions of life",Kids looks like they were covered in ash or coal of some kind.,['thankfulness'],"It looks like a hard life for those boys, I feel sad for them because of their conditions of life Strategy:  ['thankfulness']",['thankfulness'],['thankfulness'] Kids looks like they were covered in ash or coal of some kind.
367,It must be tough to grow up in such a dirty environment.,There was a gang activity that they got together for and ah,['thankfulness'],It must be tough to grow up in such a dirty environment. Strategy:  ['thankfulness'],['thankfulness'],['thankfulness'] There was a gang activity that they got together for and ah
